"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Ziziphus celata","Florida ziziphus","Wherever found","4","Endangered","Flowering Plants"
"Juglans jamaicensis","West Indian Walnut (=Nogal)","Wherever found","4","Endangered","Flowering Plants"
"Lipochaeta waimeaensis","Nehe","Wherever found","1","Endangered","Flowering Plants"
"Ternstroemia subsessilis","No common name","Wherever found","4","Endangered","Flowering Plants"
"Rhodiola integrifolia ssp. leedyi","Leedy's roseroot","Wherever found","3","Threatened","Flowering Plants"
"Potentilla hickmanii","Hickman's potentilla","Wherever found","8","Endangered","Flowering Plants"
"Arctostaphylos pallida","Pallid manzanita","Wherever found","8","Threatened","Flowering Plants"
"Xyris tennesseensis","Tennessee yellow-eyed grass","Wherever found","4","Endangered","Flowering Plants"
"Phlox nivalis ssp. texensis","Texas trailing phlox","Wherever found","2","Endangered","Flowering Plants"
"Mezoneuron kavaiense","Uhi uhi","Wherever found","1","Endangered","Flowering Plants"
"Dubautia waialealae","Na`ena`e","Wherever found","1","Endangered","Flowering Plants"
"Chamaesyce garberi","Garber's spurge","Wherever found","4","Threatened","Flowering Plants"
"Nothocestrum breviflorum","`Aiea","Wherever found","1","Endangered","Flowering Plants"
"Phyllostegia helleri","No common name","","1","Endangered","Flowering Plants"
"Catesbaea melanocarpa","No common name","Wherever found","4","Endangered","Flowering Plants"
"Brighamia rockii","Pua `ala","Wherever found","1","Endangered","Flowering Plants"
"Asplenium scolopendrium var. americanum","American hart's-tongue fern","Wherever found","5","Threatened","Ferns and Allies"
"Justicia cooleyi","Cooley's water-willow","Wherever found","4","Endangered","Flowering Plants"
"Erigeron parishii","Parish's daisy","Wherever found","8","Threatened","Flowering Plants"
"Chromolaena frustrata","Cape Sable Thoroughwort","Wherever found","4","Endangered","Flowering Plants"
"Pogogyne nudiuscula","Otay mesa-mint","Wherever found","8","Endangered","Flowering Plants"
"Pityopsis ruthii","Ruth's golden aster","Wherever found","4","Endangered","Flowering Plants"
"Alectryon macrococcus","Mahoe","Wherever found","1","Endangered","Flowering Plants"
"Mucuna sloanei var. persericea","sea bean","Wherever found","1","Endangered","Flowering Plants"
"Oxytheca parishii var. goodmaniana","Cushenbury oxytheca","Wherever found","8","Endangered","Flowering Plants"
"Joinvillea ascendens ascendens","`Ohe","Wherever found","1","Endangered","Flowering Plants"
"Callirhoe scabriuscula","Texas poppy-mallow","Wherever found","2","Endangered","Flowering Plants"
"Vigna o-wahuensis","No common name","Wherever found","1","Endangered","Flowering Plants"
"Melanthera tenuifolia","nehe","Wherever found","1","Endangered","Flowering Plants"
"Isoetes tegetiformans","Mat-forming quillwort","Wherever found","4","Endangered","Ferns and Allies"
"Ayenia limitaris","Texas ayenia","Wherever found","2","Endangered","Flowering Plants"
"Pediocactus despainii","San Rafael cactus","Wherever found","6","Endangered","Flowering Plants"
"Kokia cookei","Cooke's koki`o","Wherever found","1","Endangered","Flowering Plants"
"Dubautia kenwoodii","Naenae","Wherever found","1","Endangered","Flowering Plants"
"Acanthomintha ilicifolia","San Diego thornmint","Wherever found","8","Threatened","Flowering Plants"
"Amorpha crenulata","Crenulate lead-plant","Wherever found","4","Endangered","Flowering Plants"
"Neraudia sericea","No common name","Wherever found","1","Endangered","Flowering Plants"
"Sideroxylon reclinatum ssp. austrofloridense","Everglades bully","Wherever found","4","Threatened","Flowering Plants"
"Schiedea adamantis","Diamond Head schiedea","Wherever found","1","Endangered","Flowering Plants"
"Cercocarpus traskiae","Catalina Island mountain-mahogany","Wherever found","8","Endangered","Flowering Plants"
"Euphorbia remyi var. remyi","`Akoko","Wherever found","1","Endangered","Flowering Plants"
"Monolopia (=Lembertia) congdonii","San Joaquin wooly-threads","Wherever found","8","Endangered","Flowering Plants"
"Clermontia pyrularia","`Oha wai","Wherever found","1","Endangered","Flowering Plants"
"Castilleja cinerea","Ash-grey paintbrush","Wherever found","8","Threatened","Flowering Plants"
"Tetramolopium capillare","Pamakani","Wherever found","1","Endangered","Flowering Plants"
"Linum arenicola","Sand flax","Wherever found","4","Endangered","Flowering Plants"
"Echinocereus chisoensis var. chisoensis","Chisos Mountain hedgehog Cactus","Wherever found","2","Threatened","Flowering Plants"
"Delphinium variegatum ssp. kinkiense","San Clemente Island larkspur","Wherever found","8","Endangered","Flowering Plants"
"Aristida chaseae","No common name","Wherever found","4","Endangered","Flowering Plants"
"Euphorbia telephioides","Telephus spurge","Wherever found","4","Threatened","Flowering Plants"
"Geranium multiflorum","Nohoanu","Wherever found","1","Endangered","Flowering Plants"
"Gouania meyenii","No common name","Wherever found","1","Endangered","Flowering Plants"
"Achyranthes splendens var. rotundata","Round-leaved chaff-flower","Wherever found","1","Endangered","Flowering Plants"
"Peperomia wheeleri","Wheeler's peperomia","Wherever found","4","Endangered","Flowering Plants"
"Mentzelia leucophylla","Ash Meadows blazingstar","Wherever found","8","Threatened","Flowering Plants"
"Echinocereus fendleri var. kuenzleri","Kuenzler hedgehog cactus","Wherever found","2","Threatened","Flowering Plants"
"Nothocestrum peltatum","`Aiea","Wherever found","1","Endangered","Flowering Plants"
"Cyanea procera","Haha","Wherever found","1","Endangered","Flowering Plants"
"Clematis morefieldii","Morefields leather flower","","4","Endangered","Flowering Plants"
"Remya kauaiensis","No common name","Wherever found","1","Endangered","Flowering Plants"
"Bulbophyllum guamense","Cebello halumtano","Wherever found","1","Threatened","Flowering Plants"
"Kadua cookiana","'Awiwi","Wherever found","1","Endangered","Flowering Plants"
"Brickellia mosieri","Florida brickell-bush","Wherever found","4","Endangered","Flowering Plants"
"Echinacea laevigata","Smooth coneflower","Wherever found","4","Endangered","Flowering Plants"
"Echinocereus triglochidiatus var. arizonicus","Arizona hedgehog cactus","Wherever found","2","Endangered","Flowering Plants"
"Spermolepis hawaiiensis","No common name","Wherever found","1","Endangered","Flowering Plants"
"Castilleja affinis ssp. neglecta","Tiburon paintbrush","Wherever found","8","Endangered","Flowering Plants"
"Calamagrostis expansa","Maui reedgrass","Wherever found","1","Endangered","Flowering Plants"
"Solanum drymophilum","Erubia","Wherever found","4","Endangered","Flowering Plants"
"Rhus michauxii","Michaux's sumac","Wherever found","4","Endangered","Flowering Plants"
"Arabis hoffmannii","Hoffmann's rock-cress","Wherever found","8","Endangered","Flowering Plants"
"Melicope makahae","Alani","Wherever found","1","Endangered","Flowering Plants"
"Elaphoglossum serpens","No common name","Wherever found","4","Endangered","Ferns and Allies"
"Eriogonum pelinophilum","Clay-Loving wild buckwheat","Wherever found","6","Endangered","Flowering Plants"
"Phyllostegia kaalaensis","No common name","Wherever found","1","Endangered","Flowering Plants"
"Cornutia obovata","Palo de nigua","Wherever found","4","Endangered","Flowering Plants"
"Pinguicula ionantha","Godfrey's butterwort","Wherever found","4","Threatened","Flowering Plants"
"Nervilia jacksoniae","No common name","Wherever found","1","Threatened","Flowering Plants"
"Dryopteris glabra var. pusilla","Hohiu","Wherever found","1","Endangered","Ferns and Allies"
"Euphorbia rockii","`Akoko","Wherever found","1","Endangered","Flowering Plants"
"Helenium virginicum","Virginia sneezeweed","Wherever found","5","Threatened","Flowering Plants"
"Malacothrix indecora","Santa Cruz Island malacothrix","Wherever found","8","Endangered","Flowering Plants"
"Calyptronoma rivalis","Palma de manaca","Wherever found","4","Threatened","Flowering Plants"
"Charpentiera densiflora","Papala","Wherever found","1","Endangered","Flowering Plants"
"Silene perlmanii","No common name","Wherever found","1","Endangered","Flowering Plants"
"Melicope balloui","Alani","Wherever found","1","Endangered","Flowering Plants"
"Cyanea grimesiana ssp. grimesiana","Haha","Wherever found","1","Endangered","Flowering Plants"
"Hibiscus waimeae ssp. hannerae","Koki`o ke`oke`o","Wherever found","1","Endangered","Flowering Plants"
"Euphorbia skottsbergii var. skottsbergii","Ewa Plains `akoko","Wherever found","1","Endangered","Flowering Plants"
"Hedeoma todsenii","Todsen's pennyroyal","Wherever found","2","Endangered","Flowering Plants"
"Consolea corallicola","Florida semaphore Cactus","Wherever found","4","Endangered","Flowering Plants"
"Quercus hinckleyi","Hinckley oak","Wherever found","2","Threatened","Flowering Plants"
"Microlepia strigosa var. mauiensis","No common name","Wherever found","1","Endangered","Ferns and Allies"
"Pediocactus peeblesianus var. peeblesianus","Peebles Navajo cactus","Wherever found","2","Endangered","Flowering Plants"
"Cyclosorus boydiae","Kupukupu makalii","Wherever found","1","Endangered","Ferns and Allies"
"Arenaria paludicola","Marsh Sandwort","Wherever found","8","Endangered","Flowering Plants"
"Pritchardia viscosa","loulu","Wherever found","1","Endangered","Flowering Plants"
"Lipochaeta micrantha","Nehe","Wherever found","1","Endangered","Flowering Plants"
"Sarracenia oreophila","Green pitcher-plant","Wherever found","4","Endangered","Flowering Plants"
"Thelypodium stenopetalum","Slender-petaled mustard","Wherever found","8","Endangered","Flowering Plants"
"Cyanea acuminata","Haha","Wherever found","1","Endangered","Flowering Plants"
"Melicope munroi","Alani","Wherever found","1","Endangered","Flowering Plants"
"Diplacus vandenbergensis","Vandenberg monkeyflower","Wherever found","8","Endangered","Flowering Plants"
"Phacelia argillacea","Clay phacelia","Wherever found","6","Endangered","Flowering Plants"
"Daphnopsis helleriana","No common name","Wherever found","4","Endangered","Flowering Plants"
"Kokia drynarioides","Koki`o","Wherever found","1","Endangered","Flowering Plants"
"Melanthera kamolensis","nehe","Wherever found","1","Endangered","Flowering Plants"
"Ochrosia haleakalae","Holei","Wherever found","1","Endangered","Flowering Plants"
"Labordia tinifolia var. wahiawaensis","Kamakahala","Wherever found","1","Endangered","Flowering Plants"
"Tabernaemontana rotensis","No common name","Wherever found","1","Threatened","Flowering Plants"
"Lupinus tidestromii","Clover (Tidestrom''s) lupine","Wherever found","8","Endangered","Flowering Plants"
"Kadua laxiflora","pilo","Wherever found","1","Endangered","Flowering Plants"
"Trichomanes punctatum ssp. floridanum","Florida bristle fern","Wherever found","4","Endangered","Ferns and Allies"
"Pteralyxia macrocarpa","Kaulu","Wherever found","1","Endangered","Flowering Plants"
"Ivesia kingii var. eremica","Ash Meadows ivesia","Wherever found","8","Threatened","Flowering Plants"
"Banara vanderbiltii","Palo de ramon","Wherever found","4","Endangered","Flowering Plants"
"Dalea foliosa","Leafy prairie-clover","Wherever found","4","Endangered","Flowering Plants"
"Monardella viminea","Willowy monardella","Wherever found","8","Endangered","Flowering Plants"
"Sidalcea pedata","Pedate checker-mallow","Wherever found","8","Endangered","Flowering Plants"
"Chorizanthe orcuttiana","Orcutt's spineflower","Wherever found","8","Endangered","Flowering Plants"
"Myrsine mezii","Kolea","Wherever found","1","Endangered","Flowering Plants"
"Schiedea diffusa ssp. macraei","No common name","Wherever found","1","Endangered","Flowering Plants"
"Argemone pleiacantha ssp. pinnatisecta","Sacramento prickly poppy","Wherever found","2","Endangered","Flowering Plants"
"Solanum nelsonii","Popolo","Wherever found","1","Endangered","Flowering Plants"
"Clarkia springvillensis","Springville clarkia","Wherever found","8","Threatened","Flowering Plants"
"Auerodendron pauciflorum","No common name","Wherever found","4","Endangered","Flowering Plants"
"Cyanea stictophylla","Haha","Wherever found","1","Endangered","Flowering Plants"
"Amsinckia grandiflora","Large-flowered fiddleneck","Wherever found","8","Endangered","Flowering Plants"
"Pritchardia kaalae","loulu","Wherever found","1","Endangered","Flowering Plants"
"Eriastrum densifolium ssp. sanctorum","Santa Ana River woolly-star","Wherever found","8","Endangered","Flowering Plants"
"Melicope pallida","Alani","Wherever found","1","Endangered","Flowering Plants"
"Oxypolis canbyi","Canby's dropwort","Wherever found","4","Endangered","Flowering Plants"
"Leavenworthia texana","Texas golden Gladecress","Wherever found","2","Endangered","Flowering Plants"
"Cordylanthus tenuis ssp. capillaris","Pennell's bird's-beak","Wherever found","8","Endangered","Flowering Plants"
"Neraudia angulata","No common name","Wherever found","1","Endangered","Flowering Plants"
"Keysseria (=Lagenifera) erici","No common name","Wherever found","1","Endangered","Flowering Plants"
"Abutilon eremitopetalum","No common name","Wherever found","1","Endangered","Flowering Plants"
"Cyanea humboldtiana","Haha","Wherever found","1","Endangered","Flowering Plants"
"Festuca hawaiiensis","No common name","Wherever found","1","Endangered","Flowering Plants"
"Cyanea munroi","haha","Wherever found","1","Endangered","Flowering Plants"
"Liatris helleri","Heller's blazingstar","Wherever found","4","Threatened","Flowering Plants"
"Eragrostis fosbergii","Fosberg's love grass","Wherever found","1","Endangered","Flowering Plants"
"Macbridea alba","White birds-in-a-nest","Wherever found","4","Threatened","Flowering Plants"
"Thelypteris pilosa var. alabamensis","Alabama streak-sorus fern","Wherever found","4","Threatened","Ferns and Allies"
"Amsonia kearneyana","Kearney's blue-star","Wherever found","2","Endangered","Flowering Plants"
"Pleodendron macranthum","Chupacallos","Wherever found","4","Endangered","Flowering Plants"
"Verbena californica","Red Hills vervain","Wherever found","8","Threatened","Flowering Plants"
"Canavalia napaliensis","`Awikiwiki","Wherever found","1","Endangered","Flowering Plants"
"Cyanea solanacea","Popolo","Wherever found","1","Endangered","Flowering Plants"
"Astragalus clarianus","Clara Hunt's milk-vetch","Wherever found","8","Endangered","Flowering Plants"
"Hypolepis hawaiiensis var. mauiensis","olua","Wherever found","1","Endangered","Ferns and Allies"
"Sphaeralcea gierischii","Gierisch mallow","Wherever found","2","Endangered","Flowering Plants"
"Cyrtandra cyaneoides","Mapele","Wherever found","1","Endangered","Flowering Plants"
"Hymenoxys herbacea","Lakeside daisy","Wherever found","3","Threatened","Flowering Plants"
"Echinocactus horizonthalonius var. nicholii","Nichol's Turk's head cactus","Wherever found","2","Endangered","Flowering Plants"
"Chamaesyce deltoidea serpyllum","Wedge spurge","Wherever found","4","Endangered","Flowering Plants"
"Ambrosia pumila","San Diego ambrosia","Wherever found","8","Endangered","Flowering Plants"
"Platanthera praeclara","Western prairie fringed Orchid","Wherever found","3","Threatened","Flowering Plants"
"Pritchardia hardyi","loulu","Wherever found","1","Endangered","Flowering Plants"
"Delissea rhytidosperma","No common name","Wherever found","1","Endangered","Flowering Plants"
"Astragalus bibullatus","Guthrie's (=Pyne's) ground-plum","Wherever found","4","Endangered","Flowering Plants"
"Delphinium bakeri","Baker's larkspur","Wherever found","8","Endangered","Flowering Plants"
"Abutilon menziesii","Ko`oloa`ula","Wherever found","1","Endangered","Flowering Plants"
"Carex specuicola","Navajo sedge","Wherever found","2","Threatened","Flowering Plants"
"Viola kauaiensis var. wahiawaensis","Nani wai`ale`ale","Wherever found","1","Endangered","Flowering Plants"
"Echinocereus viridiflorus var. davisii","Davis' green pitaya","Wherever found","2","Endangered","Flowering Plants"
"Hesperomannia arbuscula","No common name","Wherever found","1","Endangered","Flowering Plants"
"Hibiscadelphus hualalaiensis","Hau kuahiwi","Wherever found","1","Endangered","Flowering Plants"
"Buxus vahlii","Vahl's boxwood","Wherever found","4","Endangered","Flowering Plants"
"Rhynchospora knieskernii","Knieskern's Beaked-rush","Wherever found","5","Threatened","Flowering Plants"
"Cyanea asarifolia","Haha","Wherever found","1","Endangered","Flowering Plants"
"Lepidium barnebyanum","Barneby ridge-cress","Wherever found","6","Endangered","Flowering Plants"
"Melicope christophersenii","Alani","Wherever found","1","Endangered","Flowering Plants"
"Physaria filiformis","Missouri bladderpod","Wherever found","3","Threatened","Flowering Plants"
"Thalictrum cooleyi","Cooley's meadowrue","Wherever found","4","Endangered","Flowering Plants"
"Schiedea obovata","No common name","Wherever found","1","Endangered","Flowering Plants"
"Physaria obcordata","Dudley Bluffs twinpod","Wherever found","6","Threatened","Flowering Plants"
"Cyanea calycina","Haha","Wherever found","1","Endangered","Flowering Plants"
"Sanicula purpurea","No common name","Wherever found","1","Endangered","Flowering Plants"
"Harperocallis flava","Harper's beauty","Wherever found","4","Endangered","Flowering Plants"
"Cyperus fauriei","No common name","Wherever found","1","Endangered","Flowering Plants"
"Callicarpa ampla","Capa rosa","Wherever found","4","Endangered","Flowering Plants"
"Schwalbea americana","American chaffseed","Wherever found","4","Endangered","Flowering Plants"
"Hibiscus arnottianus ssp. immaculatus","Koki`o ke`oke`o","Wherever found","1","Endangered","Flowering Plants"
"Polyscias gymnocarpa","`Ohe`ohe","Wherever found","1","Endangered","Flowering Plants"
"Arctostaphylos morroensis","Morro manzanita","Wherever found","8","Threatened","Flowering Plants"
"Taraxacum californicum","California taraxacum","Wherever found","8","Endangered","Flowering Plants"
"Phacelia submutica","DeBeque phacelia","Wherever found","6","Threatened","Flowering Plants"
"Portulaca sclerocarpa","Po`e","Wherever found","1","Endangered","Flowering Plants"
"Melicope zahlbruckneri","Alani","Wherever found","1","Endangered","Flowering Plants"
"Clermontia drepanomorpha","`Oha wai","Wherever found","1","Endangered","Flowering Plants"
"Remya montgomeryi","No common name","Wherever found","1","Endangered","Flowering Plants"
"Rorippa gambellii","Gambel's watercress","Wherever found","8","Endangered","Flowering Plants"
"Baccharis vanessae","Encinitas baccharis","Wherever found","8","Threatened","Flowering Plants"
"Cyperus pennatiformis","No common name","Wherever found","1","Endangered","Flowering Plants"
"Cyanea lobata","Haha","Wherever found","1","Endangered","Flowering Plants"
"Aeschynomene virginica","Sensitive joint-vetch","Wherever found","5","Threatened","Flowering Plants"
"Cenchrus agrimonioides","Kamanomano","Wherever found","1","Endangered","Flowering Plants"
"Chamaesyce deltoidea ssp. deltoidea","Deltoid spurge","Wherever found","4","Endangered","Flowering Plants"
"Ambrosia cheiranthifolia","South Texas ambrosia","Wherever found","2","Endangered","Flowering Plants"
"Hesperolinon congestum","Marin dwarf-flax","Wherever found","8","Threatened","Flowering Plants"
"Fremontodendron mexicanum","Mexican flannelbush","Wherever found","8","Endangered","Flowering Plants"
"Hibiscus dasycalyx","Neches River rose-mallow","Wherever found","2","Threatened","Flowering Plants"
"Mitracarpus polycladus","No common name","Wherever found","4","Endangered","Flowering Plants"
"Cyrtandra polyantha","Ha`iwale","Wherever found","1","Endangered","Flowering Plants"
"Purshia (=Cowania) subintegra","Arizona Cliffrose","Wherever found","2","Endangered","Flowering Plants"
"Eriogonum apricum (incl. var. prostratum)","Ione (incl. Irish Hill) buckwheat","Wherever found","8","Endangered","Flowering Plants"
"Phyllostegia hispida","No common name","Wherever found","1","Endangered","Flowering Plants"
"Dubautia kalalauensis","Naenae","Wherever found","1","Endangered","Flowering Plants"
"Sanicula mariversa","No common name","Wherever found","1","Endangered","Flowering Plants"
"Schiedea spergulina var. spergulina","No common name","Wherever found","1","Threatened","Flowering Plants"
"Limnanthes floccosa ssp. californica","Butte County meadowfoam","Wherever found","8","Endangered","Flowering Plants"
"Festuca ligulata","Guadalupe fescue","Wherever found","2","Endangered","Flowering Plants"
"Astrophytum asterias","Star cactus","Wherever found","2","Endangered","Flowering Plants"
"Lysimachia pendens","No common name","Wherever found","1","Endangered","Flowering Plants"
"Hedyotis purpurea var. montana","Roan Mountain bluet","Wherever found","4","Endangered","Flowering Plants"
"Geranium hillebrandii","Nohoanu","Wherever found","1","Endangered","Flowering Plants"
"Silene alexandri","No common name","Wherever found","1","Endangered","Flowering Plants"
"Chamaesyce deltoidea pinetorum","Pineland sandmat","Wherever found","4","Threatened","Flowering Plants"
"Myrsine knudsenii","Kolea","Wherever found","1","Endangered","Flowering Plants"
"Asplenium diellaciniatum","No common name","Wherever found","1","Endangered","Ferns and Allies"
"Chamaecrista lineata keyensis","Big Pine partridge pea","Wherever found","4","Endangered","Flowering Plants"
"Eugenia koolauensis","Nioi","Wherever found","1","Endangered","Flowering Plants"
"Cyrtandra ferripilosa","haiwale","Wherever found","1","Endangered","Flowering Plants"
"Sclerocactus wrightiae","Wright fishhook cactus","Wherever found","6","Endangered","Flowering Plants"
"Phyllostegia bracteata","No common name","Wherever found","1","Endangered","Flowering Plants"
"Thymophylla tephroleuca","Ashy dogweed","Wherever found","2","Endangered","Flowering Plants"
"Pentachaeta lyonii","Lyon's pentachaeta","Wherever found","8","Endangered","Flowering Plants"
"Gilia tenuiflora ssp. hoffmannii","Hoffmann's slender-flowered gilia","Wherever found","8","Endangered","Flowering Plants"
"Neostapfia colusana","Colusa grass","Wherever found","8","Threatened","Flowering Plants"
"Sicyos macrophyllus","`Anunu","Wherever found","1","Endangered","Flowering Plants"
"Melicope reflexa","Alani","Wherever found","1","Endangered","Flowering Plants"
"Eryngium aristulatum var. parishii","San Diego button-celery","Wherever found","8","Endangered","Flowering Plants"
"Helianthus paradoxus","Pecos (=puzzle, =paradox) sunflower","Wherever found","2","Threatened","Flowering Plants"
"Rhododendron chapmanii","Chapman rhododendron","Wherever found","4","Endangered","Flowering Plants"
"Parvisedum leiocarpum","Lake County stonecrop","Wherever found","8","Endangered","Flowering Plants"
"Ochrosia kilaueaensis","Holei","Wherever found","1","Endangered","Flowering Plants"
"Prunus geniculata","Scrub plum","Wherever found","4","Endangered","Flowering Plants"
"Lysimachia filifolia","No common name","Wherever found","1","Endangered","Flowering Plants"
"Cyanea superba","Haha","Wherever found","1","Endangered","Flowering Plants"
"Helianthus schweinitzii","Schweinitz's sunflower","Wherever found","4","Endangered","Flowering Plants"
"Eriogonum gypsophilum","Gypsum wild-buckwheat","Wherever found","2","Threatened","Flowering Plants"
"Cyanea truncata","Haha","Wherever found","1","Endangered","Flowering Plants"
"Arabis macdonaldiana","McDonald's rock-cress","Wherever found","8","Endangered","Flowering Plants"
"Melicope puberula","Alani","Wherever found","1","Endangered","Flowering Plants"
"Pleomele fernaldii","Hala pepe","Wherever found","1","Endangered","Flowering Plants"
"Deparia kaalaana","No common name","Wherever found","1","Endangered","Ferns and Allies"
"Tetramolopium arenarium","No common name","Wherever found","1","Endangered","Flowering Plants"
"Abronia macrocarpa","Large-fruited sand-verbena","Wherever found","2","Endangered","Flowering Plants"
"Malacothamnus fasciculatus var. nesioticus","Santa Cruz Island bush-mallow","Wherever found","8","Endangered","Flowering Plants"
"Poa atropurpurea","San Bernardino bluegrass","Wherever found","8","Endangered","Flowering Plants"
"Hibiscus brackenridgei","(=Native yellow hibiscus) ma`o hau hele","Wherever found","1","Endangered","Flowering Plants"
"Spiraea virginiana","Virginia spiraea","Wherever found","5","Threatened","Flowering Plants"
"Doryopteris angelica","No common name","Wherever found","1","Endangered","Ferns and Allies"
"Kadua coriacea","Kio`ele","Wherever found","1","Endangered","Flowering Plants"
"Lesquerella tumulosa","Kodachrome bladderpod","Wherever found","6","Endangered","Flowering Plants"
"Sclerocactus mesae-verdae","Mesa Verde cactus","Wherever found","2","Threatened","Flowering Plants"
"Yermo xanthocephalus","Desert yellowhead","Wherever found","6","Threatened","Flowering Plants"
"Sclerocactus brevispinus","Pariette cactus","Wherever found","6","Threatened","Flowering Plants"
"Cyperus neokunthianus","No common name","Wherever found","1","Endangered","Flowering Plants"
"Polygonella myriophylla","Sandlace","Wherever found","4","Endangered","Flowering Plants"
"Delissea subcordata","Oha","Wherever found","1","Endangered","Flowering Plants"
"Psychotria hobdyi","Kopiko","Wherever found","1","Endangered","Flowering Plants"
"Crotalaria avonensis","Avon Park harebells","Wherever found","4","Endangered","Flowering Plants"
"Euphorbia eleanoriae","`Akoko","Wherever found","1","Endangered","Flowering Plants"
"Pleomele forbesii","Hala pepe","Wherever found","1","Endangered","Flowering Plants"
"Geocarpon minimum","No common name","Wherever found","4","Threatened","Flowering Plants"
"Cereus eriophorus var. fragrans","Fragrant prickly-apple","Wherever found","4","Endangered","Flowering Plants"
"Silene polypetala","Fringed campion","Wherever found","4","Endangered","Flowering Plants"
"Pteris lidgatei","No common name","Wherever found","1","Endangered","Ferns and Allies"
"Astragalus albens","Cushenbury milk-vetch","Wherever found","8","Endangered","Flowering Plants"
"Labordia lorenciana","No common name","Wherever found","1","Endangered","Flowering Plants"
"Cyanea mceldowneyi","Haha","Wherever found","1","Endangered","Flowering Plants"
"Eugenia woodburyana","No common name","Wherever found","4","Endangered","Flowering Plants"
"Cyanea rivularis","Haha","Wherever found","1","Endangered","Flowering Plants"
"Huperzia stemmermanniae","No common name","Wherever found","1","Endangered","Ferns and Allies"
"Eriogonum longifolium var. gnaphalifolium","Scrub buckwheat","Wherever found","4","Threatened","Flowering Plants"
"Tinospora homosepala","No common name","Wherever found","1","Endangered","Flowering Plants"
"Asimina tetramera","Four-petal pawpaw","Wherever found","4","Endangered","Flowering Plants"
"Phacelia insularis ssp. insularis","Island phacelia","Wherever found","8","Endangered","Flowering Plants"
"Cryptantha crassipes","Terlingua Creek cat's-eye","Wherever found","2","Endangered","Flowering Plants"
"Harrisia (=Cereus) aboriginum (=gracilis)","Aboriginal Prickly-apple","Wherever found","4","Endangered","Flowering Plants"
"Lobelia koolauensis","No common name","Wherever found","1","Endangered","Flowering Plants"
"Hesperomannia lydgatei","No common name","Wherever found","1","Endangered","Flowering Plants"
"Cupressus goveniana ssp. goveniana","Gowen cypress","Wherever found","8","Threatened","Conifers and Cycads"
"Isodendrion hosakae","Aupaka","Wherever found","1","Endangered","Flowering Plants"
"Gardenia mannii","Nanu","Wherever found","1","Endangered","Flowering Plants"
"Berberis pinnata ssp. insularis","Island Barberry","Wherever found","8","Endangered","Flowering Plants"
"Schiedea kauaiensis","No common name","Wherever found","1","Endangered","Flowering Plants"
"Panicum fauriei var. carteri","Carter's panicgrass","Wherever found","1","Endangered","Flowering Plants"
"Tuctoria greenei","Greene's tuctoria","Wherever found","8","Endangered","Flowering Plants"
"Dudleya setchellii","Santa Clara Valley dudleya","Wherever found","8","Endangered","Flowering Plants"
"Cyanea kauaulaensis","No common name","Wherever found","1","Endangered","Flowering Plants"
"Cyanea recta","Haha","Wherever found","1","Threatened","Flowering Plants"
"Dicerandra frutescens","Scrub mint","Wherever found","4","Endangered","Flowering Plants"
"Bidens micrantha ssp. ctenophylla","Ko`oko`olau","Wherever found","1","Endangered","Flowering Plants"
"Phyllostegia velutina","No common name","Wherever found","1","Endangered","Flowering Plants"
"Cyanea kuhihewa","Haha","Wherever found","1","Endangered","Flowering Plants"
"Marsilea villosa","Ihi`ihi","Wherever found","1","Endangered","Ferns and Allies"
"Coryphantha sneedii var. sneedii","Sneed pincushion cactus","Wherever found","2","Endangered","Flowering Plants"
"Gilia tenuiflora ssp. arenaria","Monterey gilia","Wherever found","8","Endangered","Flowering Plants"
"Iris lacustris","Dwarf lake iris","Wherever found","3","Threatened","Flowering Plants"
"Schiedea salicaria","No common name","Wherever found","1","Endangered","Flowering Plants"
"Kokia kauaiensis","Koki`o","Wherever found","1","Endangered","Flowering Plants"
"Eriogonum ovalifolium var. vineum","Cushenbury buckwheat","Wherever found","8","Endangered","Flowering Plants"
"Torreya taxifolia","Florida torreya","Wherever found","4","Endangered","Conifers and Cycads"
"Eremalche kernensis","Kern mallow","Wherever found","8","Endangered","Flowering Plants"
"Ctenitis squamigera","Pauoa","Wherever found","1","Endangered","Ferns and Allies"
"Canavalia molokaiensis","`Awikiwiki","Wherever found","1","Endangered","Flowering Plants"
"Kadua haupuensis","No common name","Wherever found","1","Endangered","Flowering Plants"
"Cyanea hamatiflora ssp. hamatiflora","Haha","Wherever found","1","Endangered","Flowering Plants"
"Lipochaeta fauriei","Nehe","Wherever found","1","Endangered","Flowering Plants"
"Dodecahema leptoceras","Slender-horned spineflower","Wherever found","8","Endangered","Flowering Plants"
"Hymenoxys texana","Texas prairie dawn-flower","Wherever found","2","Endangered","Flowering Plants"
"Astragalus tricarinatus","Triple-ribbed milk-vetch","Wherever found","8","Endangered","Flowering Plants"
"Hedyotis megalantha","Paudedo","Wherever found","1","Endangered","Flowering Plants"
"Pediocactus winkleri","Winkler cactus","Wherever found","6","Threatened","Flowering Plants"
"Cyrtandra giffardii","Ha`iwale","Wherever found","1","Endangered","Flowering Plants"
"Warea carteri","Carter's mustard","Wherever found","4","Endangered","Flowering Plants"
"Penstemon haydenii","Blowout penstemon","Wherever found","6","Endangered","Flowering Plants"
"Melicope paniculata","Alani","Wherever found","1","Endangered","Flowering Plants"
