"AttributeName","Consistency","ValueIDS","RecordIDS","Values","FusedValue","IsCorrect","CorrectValue"
"regions","1.0","regions-{BIO23419}","BIO23419","{[5, 6, 8, 2, 4, 3]}","[2, 3, 4, 5, 6, 8]",,
"commonNames","0.0","commonNames-{BIO29412+http://www.wikidata.org/entity/q1762293}","BIO29412+http://www.wikidata.org/entity/q1762293","{[crawford s gray shrew, desert shrew, crawford s desert shrew, gray shrew]|[crawford’s gray shrew, desert shrew, crawfords gray shrew]}","[desert shrew, crawford s gray shrew, crawford s desert shrew, gray shrew, crawfords gray shrew, crawford’s gray shrew]",,
"category","1.0","category-{BIO42711+http://www.wikidata.org/entity/q692664}","BIO42711+http://www.wikidata.org/entity/q692664","{Mammal|Mammal}","Mammal",,
"regions","1.0","regions-{BIO28311}","BIO28311","{[5, 4, 1]}","[1, 4, 5]",,
"commonNames","0.0","commonNames-{BIO27394+http://www.wikidata.org/entity/q2109635}","BIO27394+http://www.wikidata.org/entity/q2109635","{[none]|[micromus subochraceus]}","[micromus subochraceus, none]",,
"listingStatuses","1.0","listingStatuses-{BIO05126}","BIO05126","{[none]}","[none]",,
"listingStatuses","1.0","listingStatuses-{BIO13790}","BIO13790","{[none]}","[none]",,
"regionnames","0.6666666666666666","regionnames-{BIO15988+BIO15989+ES1265}","BIO15988+BIO15989+ES1265","{[southeast, pacific]|[southeast]|[southeast]}","[pacific, southeast]",,
"regionnames","0.0","regionnames-{BIO12247+ES606}","BIO12247+ES606","{[southwest]|[pacific southwest]}","[southwest, pacific southwest]",,
"regionnames","1.0","regionnames-{BIO00150}","BIO00150","{[southeast]}","[southeast]",,
"regions","1.0","regions-{BIO17642}","BIO17642","{[5, 6, 8, 2, 1, 7, 4, 3]}","[1, 2, 3, 4, 5, 6, 7, 8]",,
"listingStatuses","0.0","listingStatuses-{BIO32851+http://www.wikidata.org/entity/q528117}","BIO32851+http://www.wikidata.org/entity/q528117","{[none]|[least concern]}","[least concern, none]",,
"listingStatuses","0.0","listingStatuses-{BIO05084+http://www.wikidata.org/entity/q1535154}","BIO05084+http://www.wikidata.org/entity/q1535154","{[none]|[least concern]}","[least concern, none]",,
"listingStatuses","0.0","listingStatuses-{BIO11892+http://www.wikidata.org/entity/q912320}","BIO11892+http://www.wikidata.org/entity/q912320","{[none]|[least concern]}","[least concern, none]",,
"regionnames","1.0","regionnames-{BIO08485+ES519}","BIO08485+ES519","{[pacific]|[pacific]}","[pacific]",,
"scientificName","1.0","scientificName-{BIO17286+http://www.wikidata.org/entity/q373264}","BIO17286+http://www.wikidata.org/entity/q373264","{euphydryas chalcedona|euphydryas chalcedona}","euphydryas chalcedona",,
"commonNames","0.0","commonNames-{BIO21779+http://www.wikidata.org/entity/q1839861}","BIO21779+http://www.wikidata.org/entity/q1839861","{[shy hamlet, golden hamlet]|[shy hamlet, hypoplectrus guttavarius]}","[shy hamlet, golden hamlet, hypoplectrus guttavarius]",,
"category","1.0","category-{BIO05352+http://www.wikidata.org/entity/q20869}","BIO05352+http://www.wikidata.org/entity/q20869","{Insect|Insect}","Insect",,
"scientificName","1.0","scientificName-{BIO11617+http://www.wikidata.org/entity/q1093943}","BIO11617+http://www.wikidata.org/entity/q1093943","{cottus aleuticus|cottus aleuticus}","cottus aleuticus",,
"scientificName","1.0","scientificName-{BIO41212+http://www.wikidata.org/entity/q726259}","BIO41212+http://www.wikidata.org/entity/q726259","{sphyrna zygaena|sphyrna zygaena}","sphyrna zygaena",,
"category","1.0","category-{BIO35768+http://www.wikidata.org/entity/q326570}","BIO35768+http://www.wikidata.org/entity/q326570","{Fish|Fish}","Fish",,
"category","1.0","category-{BIO19231+http://www.wikidata.org/entity/q1308150}","BIO19231+http://www.wikidata.org/entity/q1308150","{Insect|Insect}","Insect",,
"regions","1.0","regions-{BIO25817}","BIO25817","{[8]}","[8]",,
"commonNames","0.0","commonNames-{BIO01121+http://www.wikidata.org/entity/q331465}","BIO01121+http://www.wikidata.org/entity/q331465","{[none]|[albatrellus ovinus]}","[albatrellus ovinus, none]",,
"category","1.0","category-{BIO24476+http://www.wikidata.org/entity/q1817767}","BIO24476+http://www.wikidata.org/entity/q1817767","{Fish|Fish}","Fish",,
"category","1.0","category-{BIO12564+http://www.wikidata.org/entity/q936978}","BIO12564+http://www.wikidata.org/entity/q936978","{Mammal|Mammal}","Mammal",,
"category","1.0","category-{BIO35780+http://www.wikidata.org/entity/q1824463}","BIO35780+http://www.wikidata.org/entity/q1824463","{Insect|Insect}","Insect",,
"category","1.0","category-{BIO31249+BIO31250+http://www.wikidata.org/entity/q310069}","BIO31249+BIO31250+http://www.wikidata.org/entity/q310069","{Insect|Insect|Insect}","Insect",,
"scientificName","0.6666666666666666","scientificName-{BIO11864+BIO11887+http://www.wikidata.org/entity/q1515347}","BIO11864+BIO11887+http://www.wikidata.org/entity/q1515347","{crotalis viridis|crotalus viridis|crotalus viridis}","crotalis viridis",,
"category","1.0","category-{BIO35966+http://www.wikidata.org/entity/q597285}","BIO35966+http://www.wikidata.org/entity/q597285","{Reptile|Reptile}","Reptile",,
"commonNames","0.0","commonNames-{BIO00707+http://www.wikidata.org/entity/q655565}","BIO00707+http://www.wikidata.org/entity/q655565","{[eagle ray, spotted eagle ray, bonnetray]|[bonnetray, spotted eagle ray, maylan]}","[eagle ray, bonnetray, spotted eagle ray, maylan]",,
"regionnames","1.0","regionnames-{BIO35227}","BIO35227","{[pacific southwest, mountain prairie, pacific, alaska]}","[pacific southwest, alaska, mountain prairie, pacific]",,
"category","1.0","category-{BIO12865+http://www.wikidata.org/entity/q2120850}","BIO12865+http://www.wikidata.org/entity/q2120850","{Fungi|Fungi}","Fungi",,
"listingStatuses","1.0","listingStatuses-{BIO41112}","BIO41112","{[none]}","[none]",,
"regionnames","0.0","regionnames-{BIO18811+ES955}","BIO18811+ES955","{[southwest, mountain prairie]|[mountain prairie]}","[southwest, mountain prairie]",,
"regions","1.0","regions-{BIO30622}","BIO30622","{[1, 7]}","[1, 7]",,
"category","1.0","category-{BIO28418+http://www.wikidata.org/entity/q943341}","BIO28418+http://www.wikidata.org/entity/q943341","{Invertebrate|Invertebrate}","Invertebrate",,
"listingStatuses","1.0","listingStatuses-{BIO04494+BIO04497}","BIO04494+BIO04497","{[none]|[none]}","[none]",,
"regions","1.0","regions-{BIO42992}","BIO42992","{[2]}","[2]",,
"commonNames","0.0","commonNames-{BIO28169+http://www.wikidata.org/entity/q1467364}","BIO28169+http://www.wikidata.org/entity/q1467364","{[none]|[mycena galericulata]}","[none, mycena galericulata]",,
"listingStatuses","0.0","listingStatuses-{BIO28938+http://www.wikidata.org/entity/q1765064}","BIO28938+http://www.wikidata.org/entity/q1765064","{[none]|[least concern]}","[least concern, none]",,
"commonNames","1.0","commonNames-{BIO45998+http://www.wikidata.org/entity/q754880}","BIO45998+http://www.wikidata.org/entity/q754880","{[white throated sparrow]|[white throated sparrow]}","[white throated sparrow]",,
"scientificName","1.0","scientificName-{BIO06525+http://www.wikidata.org/entity/q927367}","BIO06525+http://www.wikidata.org/entity/q927367","{calcarius ornatus|calcarius ornatus}","calcarius ornatus",,
"category","1.0","category-{BIO03819+http://www.wikidata.org/entity/q2066380}","BIO03819+http://www.wikidata.org/entity/q2066380","{Insect|Insect}","Insect",,
"regionnames","1.0","regionnames-{BIO24690}","BIO24690","{[mountain prairie]}","[mountain prairie]",,
"commonNames","1.0","commonNames-{BIO16712+ES931}","BIO16712+ES931","{[menzies  wallflower]|[menzies  wallflower]}","[menzies  wallflower]",,
"regions","1.0","regions-{BIO41662}","BIO41662","{[5, 4]}","[4, 5]",,
"category","1.0","category-{BIO13900+http://www.wikidata.org/entity/q1329475}","BIO13900+http://www.wikidata.org/entity/q1329475","{Fish|Fish}","Fish",,
"scientificName","1.0","scientificName-{BIO04989+http://www.wikidata.org/entity/q791200}","BIO04989+http://www.wikidata.org/entity/q791200","{basileuterus rufifrons|basileuterus rufifrons}","basileuterus rufifrons",,
"listingStatuses","1.0","listingStatuses-{BIO29355}","BIO29355","{[none]}","[none]",,
"regions","1.0","regions-{BIO17511}","BIO17511","{[4]}","[4]",,
"regions","1.0","regions-{BIO34095+ES1488}","BIO34095+ES1488","{[6]|[6]}","[6]",,
"scientificName","0.0","scientificName-{BIO11309+ES825}","BIO11309+ES825","{cordylanthus rigidus ssp. rigidus|cordylanthus mollis ssp. mollis}","cordylanthus rigidus ssp. rigidus",,
"scientificName","1.0","scientificName-{BIO30436+http://www.wikidata.org/entity/q1348685}","BIO30436+http://www.wikidata.org/entity/q1348685","{oreochromis mossambicus|oreochromis mossambicus}","oreochromis mossambicus",,
"scientificName","1.0","scientificName-{BIO27472+http://www.wikidata.org/entity/q1765289}","BIO27472+http://www.wikidata.org/entity/q1765289","{microtus pinetorum|microtus pinetorum}","microtus pinetorum",,
"regions","1.0","regions-{BIO25810}","BIO25810","{[5]}","[5]",,
"listingStatuses","1.0","listingStatuses-{BIO41119}","BIO41119","{[none]}","[none]",,
"regions","1.0","regions-{BIO29771}","BIO29771","{[8, 7]}","[7, 8]",,
"scientificName","1.0","scientificName-{BIO42090+http://www.wikidata.org/entity/q1236980}","BIO42090+http://www.wikidata.org/entity/q1236980","{stropharia rugosoannulata|stropharia rugosoannulata}","stropharia rugosoannulata",,
"commonNames","0.0","commonNames-{BIO08437+http://www.wikidata.org/entity/q792871}","BIO08437+http://www.wikidata.org/entity/q792871","{[spring azure]|[holly blue]}","[spring azure, holly blue]",,
"category","1.0","category-{BIO23947+http://www.wikidata.org/entity/q601791}","BIO23947+http://www.wikidata.org/entity/q601791","{Nonvascular Plant|Nonvascular Plant}","Nonvascular Plant",,
"regionnames","1.0","regionnames-{BIO19669+ES726}","BIO19669+ES726","{[pacific]|[pacific]}","[pacific]",,
"regions","1.0","regions-{BIO43956+BIO43957}","BIO43956+BIO43957","{[8]|[8]}","[8]",,
"listingStatuses","1.0","listingStatuses-{BIO43640}","BIO43640","{[none]}","[none]",,
"regions","1.0","regions-{BIO39339+ES882}","BIO39339+ES882","{[5]|[5]}","[5]",,
"regions","1.0","regions-{BIO24744}","BIO24744","{[4]}","[4]",,
"scientificName","1.0","scientificName-{BIO00814+http://www.wikidata.org/entity/q955413}","BIO00814+http://www.wikidata.org/entity/q955413","{agathis australis|agathis australis}","agathis australis",,
"category","1.0","category-{BIO22759+http://www.wikidata.org/entity/q2066393}","BIO22759+http://www.wikidata.org/entity/q2066393","{Vascular Plant|Vascular Plant}","Vascular Plant",,
"regionnames","1.0","regionnames-{BIO42308}","BIO42308","{[southeast, pacific, mountain prairie]}","[mountain prairie, pacific, southeast]",,
"commonNames","1.0","commonNames-{BIO27038+ES376}","BIO27038+ES376","{[ash meadows blazingstar]|[ash meadows blazingstar]}","[ash meadows blazingstar]",,
"listingStatuses","1.0","listingStatuses-{BIO35107}","BIO35107","{[none]}","[none]",,
"category","1.0","category-{BIO43867+BIO43872+http://www.wikidata.org/entity/q1500812}","BIO43867+BIO43872+http://www.wikidata.org/entity/q1500812","{Fungi|Fungi|Fungi}","Fungi",,
"listingStatuses","1.0","listingStatuses-{BIO41118}","BIO41118","{[none]}","[none]",,
"category","1.0","category-{BIO01114+http://www.wikidata.org/entity/q1313339}","BIO01114+http://www.wikidata.org/entity/q1313339","{Insect|Insect}","Insect",,
"category","1.0","category-{BIO14587+http://www.wikidata.org/entity/q1336450}","BIO14587+http://www.wikidata.org/entity/q1336450","{Insect|Insect}","Insect",,
"listingStatuses","0.0","listingStatuses-{BIO14049+http://www.wikidata.org/entity/q912330}","BIO14049+http://www.wikidata.org/entity/q912330","{[species of concern]|[least concern]}","[least concern, species of concern]",,
"scientificName","1.0","scientificName-{BIO03443+http://www.wikidata.org/entity/q473745}","BIO03443+http://www.wikidata.org/entity/q473745","{armillaria mellea|armillaria mellea}","armillaria mellea",,
"scientificName","1.0","scientificName-{BIO21955+http://www.wikidata.org/entity/q882644}","BIO21955+http://www.wikidata.org/entity/q882644","{ictalurus furcatus|ictalurus furcatus}","ictalurus furcatus",,
"listingStatuses","0.0","listingStatuses-{BIO08832+http://www.wikidata.org/entity/q903229}","BIO08832+http://www.wikidata.org/entity/q903229","{[none]|[least concern]}","[least concern, none]",,
"scientificName","1.0","scientificName-{BIO38623+http://www.wikidata.org/entity/q723654}","BIO38623+http://www.wikidata.org/entity/q723654","{salvelinus fontinalis|salvelinus fontinalis}","salvelinus fontinalis",,
"scientificName","1.0","scientificName-{BIO34790+http://www.wikidata.org/entity/q901899}","BIO34790+http://www.wikidata.org/entity/q901899","{polioptila melanura|polioptila melanura}","polioptila melanura",,
"scientificName","1.0","scientificName-{BIO29619+http://www.wikidata.org/entity/q1269924}","BIO29619+http://www.wikidata.org/entity/q1269924","{oceanodroma homochroa|oceanodroma homochroa}","oceanodroma homochroa",,
"category","1.0","category-{BIO16822+http://www.wikidata.org/entity/q304788}","BIO16822+http://www.wikidata.org/entity/q304788","{Fish|Fish}","Fish",,
"commonNames","0.0","commonNames-{BIO30727+http://www.wikidata.org/entity/q733398}","BIO30727+http://www.wikidata.org/entity/q733398","{[royal fern]|[royal fern, osmunda regalis]}","[osmunda regalis, royal fern]",,
"category","1.0","category-{BIO44403+http://www.wikidata.org/entity/q1144409}","BIO44403+http://www.wikidata.org/entity/q1144409","{Vascular Plant|Vascular Plant}","Vascular Plant",,
"category","1.0","category-{BIO00978+http://www.wikidata.org/entity/q1471958}","BIO00978+http://www.wikidata.org/entity/q1471958","{Fungi|Fungi}","Fungi",,
"regions","1.0","regions-{BIO01970}","BIO01970","{[4]}","[4]",,
"listingStatuses","1.0","listingStatuses-{BIO35239}","BIO35239","{[none]}","[none]",,
"listingStatuses","1.0","listingStatuses-{BIO05386}","BIO05386","{[none]}","[none]",,
"regionnames","1.0","regionnames-{BIO22292}","BIO22292","{[mountain prairie]}","[mountain prairie]",,
"listingStatuses","0.0","listingStatuses-{BIO41859+http://www.wikidata.org/entity/q674891}","BIO41859+http://www.wikidata.org/entity/q674891","{[none]|[least concern]}","[least concern, none]",,
"regionnames","1.0","regionnames-{BIO14850}","BIO14850","{[southeast]}","[southeast]",,
"regions","1.0","regions-{BIO23415}","BIO23415","{[5, 6, 8, 2, 1, 4, 3]}","[1, 2, 3, 4, 5, 6, 8]",,
"commonNames","1.0","commonNames-{BIO44333+http://www.wikidata.org/entity/q632823}","BIO44333+http://www.wikidata.org/entity/q632823","{[elegant trogon]|[elegant trogon]}","[elegant trogon]",,
"scientificName","0.6666666666666666","scientificName-{BIO02784+ES974+http://www.wikidata.org/entity/q503813}","BIO02784+ES974+http://www.wikidata.org/entity/q503813","{aplodontia rufa|aplodontia rufa nigra|aplodontia rufa}","aplodontia rufa",,
"commonNames","0.0","commonNames-{BIO21403+http://www.wikidata.org/entity/q76836}","BIO21403+http://www.wikidata.org/entity/q76836","{[none]|[purple red hygrophorus, hygrophorus purpurascens]}","[purple red hygrophorus, hygrophorus purpurascens, none]",,
"commonNames","0.6666666666666666","commonNames-{BIO31094+BIO31095+http://www.wikidata.org/entity/q1029124}","BIO31094+BIO31095+http://www.wikidata.org/entity/q1029124","{[none]|[none]|[panellus stipticus]}","[panellus stipticus, none]",,
"regionnames","1.0","regionnames-{BIO21094}","BIO21094","{[mountain prairie]}","[mountain prairie]",,
"regions","1.0","regions-{BIO33386}","BIO33386","{[8]}","[8]",,
"commonNames","0.0","commonNames-{BIO16947+http://www.wikidata.org/entity/q301631}","BIO16947+http://www.wikidata.org/entity/q301631","{[spotted bat]|[spotted bat, pinto bat]}","[pinto bat, spotted bat]",,
"scientificName","0.5","scientificName-{BIO32475+BIO32476+ES1292+http://www.wikidata.org/entity/q959378}","BIO32475+BIO32476+ES1292+http://www.wikidata.org/entity/q959378","{peromyscus gossypinus|peromyscus gossypinus allapaticola|peromyscus gossypinus allapaticola|peromyscus gossypinus}","peromyscus gossypinus",,
"regions","1.0","regions-{BIO31957}","BIO31957","{[6, 8, 1, 7, 4]}","[1, 4, 6, 7, 8]",,
"listingStatuses","0.6666666666666666","listingStatuses-{BIO30777+BIO30780+ES1176}","BIO30777+BIO30780+ES1176","{[species of concern]|[endangered]|[endangered]}","[species of concern, endangered]",,
"regions","1.0","regions-{BIO02070}","BIO02070","{[4]}","[4]",,
"regions","1.0","regions-{BIO01971}","BIO01971","{[5, 6, 8, 2, 1, 7, 4]}","[1, 2, 4, 5, 6, 7, 8]",,
"listingStatuses","1.0","listingStatuses-{BIO43777}","BIO43777","{[none]}","[none]",,
"commonNames","0.0","commonNames-{BIO29197+http://www.wikidata.org/entity/q600498}","BIO29197+http://www.wikidata.org/entity/q600498","{[none]|[southern green stink bug, nezara viridula]}","[nezara viridula, none, southern green stink bug]",,
"scientificName","1.0","scientificName-{BIO14989+http://www.wikidata.org/entity/q371028}","BIO14989+http://www.wikidata.org/entity/q371028","{egretta caerulea|egretta caerulea}","egretta caerulea",,
"regionnames","1.0","regionnames-{BIO06312}","BIO06312","{[southwest]}","[southwest]",,
"category","1.0","category-{BIO39725+http://www.wikidata.org/entity/q1756483}","BIO39725+http://www.wikidata.org/entity/q1756483","{Vascular Plant|Vascular Plant}","Vascular Plant",,
"category","1.0","category-{BIO21675+http://www.wikidata.org/entity/q1333342}","BIO21675+http://www.wikidata.org/entity/q1333342","{Insect|Insect}","Insect",,
"category","1.0","category-{BIO45867+http://www.wikidata.org/entity/q1518712}","BIO45867+http://www.wikidata.org/entity/q1518712","{Vascular Plant|Vascular Plant}","Vascular Plant",,
"scientificName","1.0","scientificName-{BIO26471+http://www.wikidata.org/entity/q584064}","BIO26471+http://www.wikidata.org/entity/q584064","{martes pennanti|martes pennanti}","martes pennanti",,
"scientificName","1.0","scientificName-{BIO45858+http://www.wikidata.org/entity/q1194599}","BIO45858+http://www.wikidata.org/entity/q1194599","{yucca filamentosa|yucca filamentosa}","yucca filamentosa",,
"regionnames","1.0","regionnames-{BIO03818}","BIO03818","{[pacific southwest]}","[pacific southwest]",,
"regionnames","1.0","regionnames-{BIO38824}","BIO38824","{[pacific southwest, alaska]}","[pacific southwest, alaska]",,
"scientificName","1.0","scientificName-{BIO37611+http://www.wikidata.org/entity/q2104658}","BIO37611+http://www.wikidata.org/entity/q2104658","{rhyacophila alberta|rhyacophila alberta}","rhyacophila alberta",,
"category","1.0","category-{BIO23895+http://www.wikidata.org/entity/q1235711}","BIO23895+http://www.wikidata.org/entity/q1235711","{Reptile|Reptile}","Reptile",,
"regions","1.0","regions-{BIO35780}","BIO35780","{[1]}","[1]",,
"category","1.0","category-{BIO04762+http://www.wikidata.org/entity/q981134}","BIO04762+http://www.wikidata.org/entity/q981134","{Vascular Plant|Vascular Plant}","Vascular Plant",,
"regionnames","1.0","regionnames-{BIO21093}","BIO21093","{[southeast, mountain prairie]}","[mountain prairie, southeast]",,
"listingStatuses","0.0","listingStatuses-{BIO44660+http://www.wikidata.org/entity/q1440212}","BIO44660+http://www.wikidata.org/entity/q1440212","{[none]|[least concern]}","[least concern, none]",,
"commonNames","0.0","commonNames-{BIO19543+http://www.wikidata.org/entity/q1150884}","BIO19543+http://www.wikidata.org/entity/q1150884","{[none]|[gymnopus confluens]}","[gymnopus confluens, none]",,
"regionnames","1.0","regionnames-{BIO32978}","BIO32978","{[midwest]}","[midwest]",,
"scientificName","1.0","scientificName-{BIO03034+http://www.wikidata.org/entity/q782275}","BIO03034+http://www.wikidata.org/entity/q782275","{araucaria bidwillii|araucaria bidwillii}","araucaria bidwillii",,
"regionnames","1.0","regionnames-{BIO29217}","BIO29217","{[pacific, mountain prairie]}","[mountain prairie, pacific]",,
"scientificName","1.0","scientificName-{BIO21121+http://www.wikidata.org/entity/q1102418}","BIO21121+http://www.wikidata.org/entity/q1102418","{hybopsis amnis|hybopsis amnis}","hybopsis amnis",,
"category","1.0","category-{BIO34662+http://www.wikidata.org/entity/q1079441}","BIO34662+http://www.wikidata.org/entity/q1079441","{Bird|Bird}","Bird",,
"scientificName","1.0","scientificName-{BIO08580+http://www.wikidata.org/entity/q882759}","BIO08580+http://www.wikidata.org/entity/q882759","{centropyge argi|centropyge argi}","centropyge argi",,
"listingStatuses","1.0","listingStatuses-{BIO31094+BIO31095}","BIO31094+BIO31095","{[none]|[none]}","[none]",,
"category","1.0","category-{BIO25461+http://www.wikidata.org/entity/q1309540}","BIO25461+http://www.wikidata.org/entity/q1309540","{Insect|Insect}","Insect",,
"commonNames","0.0","commonNames-{BIO38866+http://www.wikidata.org/entity/q767957}","BIO38866+http://www.wikidata.org/entity/q767957","{[california hairstreak]|[satyrium californica]}","[california hairstreak, satyrium californica]",,
"regionnames","1.0","regionnames-{BIO03819}","BIO03819","{[pacific southwest]}","[pacific southwest]",,
"listingStatuses","0.0","listingStatuses-{BIO43052+http://www.wikidata.org/entity/q1633833}","BIO43052+http://www.wikidata.org/entity/q1633833","{[none]|[least concern]}","[least concern, none]",,
"listingStatuses","1.0","listingStatuses-{BIO08706}","BIO08706","{[none]}","[none]",,
"commonNames","0.0","commonNames-{BIO00176+http://www.wikidata.org/entity/q481697}","BIO00176+http://www.wikidata.org/entity/q481697","{[scrawled cowfish]|[trunkfish, shellfish, cowfish, scrawled cowfish]}","[shellfish, scrawled cowfish, trunkfish, cowfish]",,
"regionnames","1.0","regionnames-{BIO34010}","BIO34010","{[mountain prairie, southeast, pacific, alaska]}","[alaska, mountain prairie, pacific, southeast]",,
"listingStatuses","1.0","listingStatuses-{BIO41130}","BIO41130","{[none]}","[none]",,
"category","1.0","category-{BIO44928+http://www.wikidata.org/entity/q1590841}","BIO44928+http://www.wikidata.org/entity/q1590841","{Insect|Insect}","Insect",,
"category","1.0","category-{BIO03365+http://www.wikidata.org/entity/q922890}","BIO03365+http://www.wikidata.org/entity/q922890","{Fish|Fish}","Fish",,
"commonNames","0.0","commonNames-{BIO09271+http://www.wikidata.org/entity/q26903}","BIO09271+http://www.wikidata.org/entity/q26903","{[snow goose, blue goose]|[snow goose]}","[snow goose, blue goose]",,
"commonNames","0.0","commonNames-{BIO38239+http://www.wikidata.org/entity/q631755}","BIO38239+http://www.wikidata.org/entity/q631755","{[roughcheek sculpin]|[ruscarius creaseri]}","[ruscarius creaseri, roughcheek sculpin]",,
"category","1.0","category-{BIO42547+http://www.wikidata.org/entity/q1156618}","BIO42547+http://www.wikidata.org/entity/q1156618","{Nonvascular Plant|Nonvascular Plant}","Nonvascular Plant",,
"regions","1.0","regions-{BIO03128}","BIO03128","{[4]}","[4]",,
"commonNames","0.0","commonNames-{BIO07247+http://www.wikidata.org/entity/q2060342}","BIO07247+http://www.wikidata.org/entity/q2060342","{[none]|[capitella capitata]}","[none, capitella capitata]",,
"commonNames","0.0","commonNames-{BIO41719+http://www.wikidata.org/entity/q935625}","BIO41719+http://www.wikidata.org/entity/q935625","{[redbanded coral shrimp, banded coral shrimp,  opae huna]|[banded coral shrimp, stenopus hispidus]}","[stenopus hispidus, redbanded coral shrimp, banded coral shrimp,  opae huna]",,
"listingStatuses","0.0","listingStatuses-{BIO42219+http://www.wikidata.org/entity/q457267}","BIO42219+http://www.wikidata.org/entity/q457267","{[none]|[least concern]}","[least concern, none]",,
"regionnames","1.0","regionnames-{BIO36540}","BIO36540","{[pacific southwest, southeast, alaska]}","[pacific southwest, alaska, southeast]",,
"regionnames","1.0","regionnames-{BIO32844}","BIO32844","{[southeast]}","[southeast]",,
"regionnames","1.0","regionnames-{BIO30449}","BIO30449","{[pacific southwest, pacific]}","[pacific southwest, pacific]",,
"regionnames","1.0","regionnames-{BIO08979}","BIO08979","{[pacific southwest]}","[pacific southwest]",,
"listingStatuses","1.0","listingStatuses-{BIO42464}","BIO42464","{[none]}","[none]",,
"regionnames","1.0","regionnames-{BIO39170}","BIO39170","{[pacific southwest, southwest, pacific, mountain prairie]}","[pacific southwest, southwest, mountain prairie, pacific]",,
"listingStatuses","0.0","listingStatuses-{BIO10669+http://www.wikidata.org/entity/q1510347}","BIO10669+http://www.wikidata.org/entity/q1510347","{[none]|[data deficient]}","[data deficient, none]",,
"listingStatuses","0.0","listingStatuses-{BIO18135+http://www.wikidata.org/entity/q648494}","BIO18135+http://www.wikidata.org/entity/q648494","{[none]|[least concern]}","[least concern, none]",,
"category","1.0","category-{BIO12569+ES1483+http://www.wikidata.org/entity/q304415}","BIO12569+ES1483+http://www.wikidata.org/entity/q304415","{Mammal|Mammal|Mammal}","Mammal",,
"category","1.0","category-{BIO08580+http://www.wikidata.org/entity/q882759}","BIO08580+http://www.wikidata.org/entity/q882759","{Fish|Fish}","Fish",,
"scientificName","0.0","scientificName-{BIO20656+ES879}","BIO20656+ES879","{hibiscadelphus x puakuahiwi|hibiscadelphus distans}","hibiscadelphus x puakuahiwi",,
"regions","1.0","regions-{BIO12870}","BIO12870","{[5, 4]}","[4, 5]",,
"scientificName","0.0","scientificName-{BIO36043+BIO36044+ES677}","BIO36043+BIO36044+ES677","{pseudognaphalium sandwicensium|pseudognaphalium sandwicensium var. hawaiiense|pseudognaphalium sandwicensium var. molokaiense}","pseudognaphalium sandwicensium var. molokaiense",,
"category","1.0","category-{BIO11327+http://www.wikidata.org/entity/q945152}","BIO11327+http://www.wikidata.org/entity/q945152","{Fish|Fish}","Fish",,
"regions","1.0","regions-{BIO09351}","BIO09351","{[1, 6]}","[1, 6]",,
"scientificName","1.0","scientificName-{BIO18694+http://www.wikidata.org/entity/q1814543}","BIO18694+http://www.wikidata.org/entity/q1814543","{gephyreaster swifti|gephyreaster swifti}","gephyreaster swifti",,
"scientificName","0.0","scientificName-{BIO27299+http://www.wikidata.org/entity/q1846973}","BIO27299+http://www.wikidata.org/entity/q1846973","{micaria altana|micaria faltana}","micaria faltana",,
"regions","1.0","regions-{BIO38296}","BIO38296","{[5]}","[5]",,
"commonNames","0.0","commonNames-{BIO43432+http://www.wikidata.org/entity/q827994}","BIO43432+http://www.wikidata.org/entity/q827994","{[none]|[thysanoessa raschii]}","[thysanoessa raschii, none]",,
"regions","1.0","regions-{BIO37035+BIO37045+ES1395}","BIO37035+BIO37045+ES1395","{[8]|[8]|[8]}","[8]","true","[8]"
"regionnames","1.0","regionnames-{BIO14991}","BIO14991","{[northeast, mountain prairie, pacific southwest, southwest, pacific, southeast]}","[pacific southwest, southwest, mountain prairie, northeast, pacific, southeast]",,
"commonNames","1.0","commonNames-{BIO29497+http://www.wikidata.org/entity/q1142785}","BIO29497+http://www.wikidata.org/entity/q1142785","{[clark s nutcracker]|[clark s nutcracker]}","[clark s nutcracker]",,
"scientificName","1.0","scientificName-{BIO43316+ES297}","BIO43316+ES297","{thlaspi californicum|thlaspi californicum}","thlaspi californicum",,
"scientificName","1.0","scientificName-{BIO01879+http://www.wikidata.org/entity/q367020}","BIO01879+http://www.wikidata.org/entity/q367020","{ampulex compressa|ampulex compressa}","ampulex compressa",,
"scientificName","1.0","scientificName-{BIO20271+http://www.wikidata.org/entity/q1845447}","BIO20271+http://www.wikidata.org/entity/q1845447","{hemiemblemaria simulus|hemiemblemaria simulus}","hemiemblemaria simulus",,
"regions","1.0","regions-{BIO31707}","BIO31707","{[5, 6, 8, 2, 1]}","[1, 2, 5, 6, 8]",,
"commonNames","0.0","commonNames-{BIO37615+http://www.wikidata.org/entity/q2090776}","BIO37615+http://www.wikidata.org/entity/q2090776","{[none]|[rhyacophila atrata]}","[rhyacophila atrata, none]",,
"listingStatuses","0.0","listingStatuses-{BIO36153+http://www.wikidata.org/entity/q652263}","BIO36153+http://www.wikidata.org/entity/q652263","{[none]|[least concern]}","[least concern, none]",,
